#TYPE System.Data.DataRow
"id","tray_id","tray_type","tray_item_id","tray_item","tray_catalog_nbr","tray_item_qty","tray_item_desc","tray_barcode","tray_lot_nbr","tray_exp_date","chk_out","chk_out_by","chk_out_dttm","create_dttm","create_by","modify_dttm","modify_by","tray_status","tray_status_dttm","tray_status_by","db_lock"
"1","0","","0","","","","","","","","","","","","","","","","","",""
"2","0","","0","","","","","","","","","","","","","","","","","",""
"3","1","MA3","3","3162","B10800","6","SWAB 70% ISPRP 3.15% CHG 1ML","","","","False","","","","","","","0","","","False"
"4","1","MA3","4","2848","8881540111","5","CANNULA BLUNT VIAL ACCESS STRL","","","","False","","","","","","","0","","","False"
"5","1","MA3","5","9890","305175","5","NDL HPO 20GA 1IN RW BD PP REG","","","","False","","","","","","","0","","","False"
"6","1","MA3","6","9870","11811022F","4","NDL HYPO BLUNT 18GA 1.5IN","","","","False","","","","","","","0","","","False"
"7","1","MA3","7","8750","306201","3","IV CATH 16GA X 1.25IN RADOPQ PU","","","","False","","","","","","","0","","","False"
"8","1","MA3","8","8800","306501","3","IV CATH 18GA X 1 1/4"" PROTECT","","","","False","","","","","","","0","","","False"
"9","1","MA3","9","8860","306701","3","IV CATH 20GA X 1"" PROTECT","","","","False","","","","","","","0","","","False"
"10","1","MA3","10","9860","8881850815","5","NDL HYPO 18GA 1.5IN MNJCT MGLN","","","","False","","","","","","","0","","","False"
"11","1","MA3","11","15610","1538S-1","1","TAPE 1IN X 1.5YD CLOTH DURAPORE","","","","False","","","","","","","0","","","False"
"12","1","MA3","12","15640","1538S-2","1","TAPE 2IN X 1.5YD CLOTH DURAPORE","","","","False","","","","","","","0","","","False"
"13","1","MA3","13","9920","8881850110","5","NDL HYPO 21GA 1IN MNJCT MGLN SS PP","","","","False","","","","","","","0","","","False"
"14","1","MA3","14","1770","D4510","1","SCPL SS PERM LCK PSTN RTRCT BLDE SLDR SLIP RST FNGR GRP SRG 10","","","","False","","","","","","","0","","","False"
"15","1","MA3","15","9530","PEN3051","1","PENNLIGHT EXM PLS HI INTNS ILUM","","","","False","","","","","","","0","","","False"
"16","1","MA3","16","10070","405184","1","NDL SPNL 3.5IN 18GA BD QNCK ANES STRL LF DISP","","","","False","","","","","","","0","","","False"
"17","1","MA3","17","10160","405181","1","NDL SPNL BLK 3.5IN 22GA BD QNCK STDLN BVL","","","","False","","","","","","","0","","","False"
"18","1","MA3","18","14980","1180300777","5","SYR MNJCT 3ML LF STRL SFPK GRAD BRL PLNG","","","","False","","","","","","","0","","","False"
"19","1","MA3","19","14850","1180600777","5","SYRINGE MNJCT 6ML LF STRL SFT PK LL TIP","","","","False","","","","","","","0","","","False"
"20","1","MA3","20","14870","302995","5","SYRINGE 10ML LF LUER LOK  200/CT","","","","False","","","","","","","0","","","False"
"21","1","MA3","21","14900","1182000777","5","SYR MNJCT 20ML LF STRL SFT PK LL TIP ","","","","False","","","","","","","0","","","False"
